Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.1,686990,63,10904.6,3552.0,2305,32868,11668.6,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_put_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIterator &, c10::ArrayRef<long long>, c10::ArrayRef<long long>)::[lambda(char *, const char *, long long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long long, T3)"
0.1,669679,317,2112.6,1408.0,1344,18722,2762.2,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,634369,140,4531.2,3984.5,3648,37668,4042.5,_update_gradient_JTCJ_dense_f52c2ac2_cuda_kernel_forward
0.0,602146,48,12544.7,8961.0,8865,107948,17141.5,_equality_joint__locals__kernel_98acb280_cuda_kernel_forward
0.0,566624,98,5781.9,4016.0,2176,99403,13857.0,enforce_kinematic_targets_111b85c6_cuda_kernel_forward
0.0,555805,136,4086.8,1184.0,1088,9825,3977.6,"void cuBQL::cuda::refit_init<float, (int)3>(const cuBQL::BinaryBVH<T1, T2>::Node *, unsigned int *, int)"
0.0,551743,48,11494.6,6721.0,6465,231802,32477.4,compute_rigid_contact_forces_f0cb57a3_cuda_kernel_forward
0.0,525653,68,7730.2,1792.0,1696,18978,7892.1,"void cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::DeviceScanKernel<cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::detail::scan::policy_hub<float, float, float, unsigned int, cuda::std::__4::plus<void>>::Policy1000, <unnamed>::cub_strided_iterator<const float>, <unnamed>::cub_strided_iterator<float>, cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::ScanTileState<float, (bool)1>, cuda::std::__4::plus<void>, cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::NullType, unsigned int, float, (bool)0>(T2, T3, T4, int, T5, T6, T7)"
0.0,523864,56,9354.7,3889.0,3680,75240,13679.0,_transmission_1c4157e8_cuda_kernel_forward
0.0,516983,68,7602.7,2256.5,2048,18946,7144.9,"void cuBQL::sahBuilder_impl::initPrims<float, (int)3>(cuBQL::sahBuilder_impl::TempNode<cuBQL::box_t<T1, T2>> *, cuBQL::gpuBuilder_impl::PrimState *, const cuBQL::box_t<T1, T2> *, unsigned int)"
0.0,512228,96,5335.7,4352.0,3776,46597,6543.6,_tile_cholesky_factorize_solve_block__locals__kernel_86a93633_cuda_kernel_forward
0.0,482013,194,2484.6,1648.5,1472,53926,4666.8,_scatter_reset_owned_rows_kernel_fe63c89c_cuda_kernel_forward
