Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,2753,1,2753.0,2753.0,2753,2753,0.0,"wp::build_leaves(const wp::vec_t<(unsigned int)3, float> *, const wp::vec_t<(unsigned int)3, float> *, int, const int *, int *, int *, wp::BVHPackedNodeHalf *, wp::BVHPackedNodeHalf *)"
0.0,2720,2,1360.0,1360.0,1344,1376,22.6,update_default_joint_values_94439699_cuda_kernel_forward
0.0,2465,1,2465.0,2465.0,2465,2465,0.0,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<long long, at::native::ArgMaxOps<long long>, unsigned int, long long, (int)4, (int)4>>(T3)"
0.0,2464,1,2464.0,2464.0,2464,2464,0.0,"void at::native::<unnamed>::write_indices<long long>(long long *, at::native::<unnamed>::TensorDims<T1>, int, T1, long long *, long long)"
0.0,2304,1,2304.0,2304.0,2304,2304,0.0,compute_nodal_state_w_c8daa653_cuda_kernel_forward
0.0,2209,1,2209.0,2209.0,2209,2209,0.0,get_body_com_pose_from_body_link_pose_5940b76d_cuda_kernel_forward
0.0,2048,2,1024.0,1024.0,1024,1024,0.0,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
0.0,1792,2,896.0,896.0,896,896,0.0,"wp::memset_kernel(int *, int, unsigned long long)"
0.0,1536,1,1536.0,1536.0,1536,1536,0.0,"wp::compute_morton_codes(const wp::vec_t<(unsigned int)3, float> *, const wp::vec_t<(unsigned int)3, float> *, int, const wp::vec_t<(unsigned int)3, float> *, const wp::vec_t<(unsigned int)3, float> *, int *, unsigned long long *, const int *)"
0.0,1472,1,1472.0,1472.0,1472,1472,0.0,set_model_articulation_mask_per_world_kernel_7b6292eb_cuda_kernel_forward
0.0,1376,1,1376.0,1376.0,1376,1376,0.0,_zero_particle_mass_kernel_f35baa97_cuda_kernel_forward
0.0,1344,1,1344.0,1344.0,1344,1344,0.0,_clear_particle_flag_kernel_cf97181a_cuda_kernel_forward
0.0,1344,1,1344.0,1344.0,1344,1344,0.0,concat_joint_pos_limits_lower_and_upper_47a833bf_cuda_kernel_forward
0.0,1248,1,1248.0,1248.0,1248,1248,0.0,update_soft_joint_pos_limits_ca01ff7f_cuda_kernel_forward
0.0,1216,1,1216.0,1216.0,1216,1216,0.0,set_kinematic_flags_to_one_fd455eb1_cuda_kernel_forward
0.0,1185,1,1185.0,1185.0,1185,1185,0.0,"void cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::DeviceRadixSortExclusiveSumKernel<cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::detail::radix::policy_hub<unsigned long long, SortPayload<(int)4>, unsigned int>::Policy1000, unsigned int>(T2 *)"
0.0,1120,1,1120.0,1120.0,1120,1120,0.0,"wp::compute_key_deltas(const unsigned long long *, int *, int)"
0.0,1120,1,1120.0,1120.0,1120,1120,0.0,"wp::compute_total_inv_edges(const wp::vec_t<(unsigned int)3, float> *, const wp::vec_t<(unsigned int)3, float> *, wp::vec_t<(unsigned int)3, float> *)"
