NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.step,PushPop,2540424,2541520,12,48,7567575,157657.8,74152.0,73416,1098359,279991.0,create_soft_edge_contacts_09df4d83_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.step,PushPop,2540424,2541520,12,48,5580380,116257.9,56390.0,56166,795062,200773.4,create_soft_face_contacts_a28c1f93_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.step,PushPop,2540424,2541520,12,96,5177523,53932.5,39316.0,2560,657448,126148.6,eval_articulation_fk_6c60ba16_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.step,PushPop,2540424,2541520,12,3218,4475315,1390.7,928.0,768,24227,1602.6,"void memtile_value_kernel<int>(T1 *, T1, unsigned long long)"
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.step,PushPop,2540424,2541520,12,792,3705773,4679.0,2657.0,2592,34436,6290.2,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>)::[lambda(char *, const char *, long long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long long, T3)"
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.step,PushPop,2540424,2541520,12,50,3011369,60227.4,27203.0,26275,316259,90542.6,_kinematics_branch_95f8028e_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.step,PushPop,2540424,2541520,1,66,2941222,44564.0,45285.0,27363,61382,9825.4,_compute_body_jac_row_6eb5882a_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.step,PushPop,2540424,2541520,12,550,2937246,5340.4,2816.0,1312,30371,7991.8,_crb_accumulate_073a11b8_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.step,PushPop,2540424,2541520,1,91,2619004,28780.3,28708.0,28579,32868,438.3,_tile_cholesky_solve_block__locals__kernel_413936bd_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.step,PushPop,2540424,2541520,12,48,2277081,47439.2,14401.5,12673,567262,114704.1,compute_shape_aabbs_3132aed6_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.step,PushPop,2540424,2541520,12,550,1916466,3484.5,1760.0,1248,18722,4838.5,_subtree_com_acc_350f0560_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.step,PushPop,2540424,2541520,12,528,1881514,3563.5,2144.0,1184,21986,5132.4,_cfrc_backward_72237d38_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.step,PushPop,2540424,2541520,12,48,1838276,38297.4,24834.0,24770,239962,52590.9,_harvest_vbd_body_particle_contact_forces_on_proxy_bodies_kernel_d68af8d2_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.step,PushPop,2540424,2541520,12,828,1742878,2104.9,1280.0,1248,29379,2829.7,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long long) (instance 1)], std::array<char *, (unsigned long long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
