attempt,optimizer_updates,physical_seed,candidate_mode,noise_seed,requested_noise_rms_m,noise_scale,noise_halvings,inertial_base_fallback,initializer_fallback,candidate_from_previous_rms_m,valid,min_gauss_j,min_center_j,min_center_singular_ratio,energy_before_joule,energy_after_joule,normalized_loss,energy_ratio,descent,gradient_norm,nonzero_gradient_tensors,status,elapsed_seconds
34,34,1,noisy_inertial,1089345848,0.0018092371488425175,1.0,0,False,False,0.0019865640727823215,True,0.8312271237373352,0.8501817584037781,0.7497498989105225,207.38096618652344,207.05044555664062,-0.0015937847911535637,0.9984062152088464,True,7.832162857055664,72,complete,10.322768818587065
35,35,14,inertial,1518868856,0,0,0,False,False,0.0008464528758327542,True,0.8614071607589722,0.8763378858566284,0.8074150085449219,73.98258209228516,73.07797241210938,-0.012227333172115835,0.9877726668278841,True,4.7692060470581055,72,complete,10.74026269838214
36,36,7,inertial,486132216,0,0,0,False,False,0.0014115448025887956,True,0.8870240449905396,0.8998292088508606,0.8155162334442139,50.72197723388672,50.904056549072266,0.003589751920473281,1.0035897519204733,False,4.726571559906006,72,complete,10.881648734211922
37,37,2,noisy_inertial,1010959916,0.002107345219714155,1.0,0,False,False,0.002128693953157483,True,0.8391204476356506,0.8458702564239502,0.8310975432395935,90.33485412597656,90.04988098144531,-0.00315463114750637,0.9968453688524936,True,10.324015617370605,72,complete,11.168517090380192
38,38,13,inertial,2472217384,0,0,0,False,False,0.0008676485830332849,True,0.9456826448440552,0.9546684622764587,0.894516110420227,24.156862258911133,22.67988395690918,-0.061141148472505624,0.9388588515274944,True,13.642502784729004,72,complete,11.310629043728113
39,39,11,noisy_inertial,2779311673,0.0013214508548041446,1.0,0,False,False,0.0026086091928295306,True,0.8534322381019592,0.8736752271652222,0.7509808540344238,122.6468734741211,119.95784759521484,-0.021924944376781393,0.9780750556232186,True,7.845066547393799,72,complete,11.594617273658514
40,40,10,inertial,4242219310,0,0,0,False,False,0.0010061900837447055,True,0.8544186353683472,0.8733453750610352,0.797371506690979,98.45536041259766,99.5545425415039,0.011164269007801087,1.011164269007801,False,2.862466335296631,72,complete,11.735252421349287
41,41,0,inertial,2869112077,0,0,0,False,False,0.002129038930236235,True,0.8889185190200806,0.8984441161155701,0.868065595626831,28.15040397644043,27.4376277923584,-0.025320282603353266,0.9746797173966467,True,3.601661205291748,72,complete,12.566754650324583
42,42,9,noisy_inertial,961653133,0.0005686032360487282,1.0,0,False,False,0.0017320144352945604,True,0.8506969809532166,0.8664842247962952,0.7789756059646606,135.42514038085938,132.88067626953125,-0.018788713116133882,0.9812112868838662,True,4.055246353149414,72,complete,12.856352925300598
43,43,3,noisy_inertial,2159480775,0.002359517529782758,1.0,0,False,False,0.0033117714633193493,True,0.8427071571350098,0.8601477742195129,0.847838819026947,61.51839828491211,60.56846618652344,-0.015441430935656374,0.9845585690643436,True,12.029132843017578,72,complete,13.140383582562208
