NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,2541164,2538084,1,4,56871,14217.8,14258.0,14050,14305,114.8,_subtree_div_0ef57c26_cuda_kernel_forward
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,2541164,2538084,1,8,55847,6980.9,7265.0,5248,8065,1062.0,"void cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::DeviceRadixSortOnesweepKernel<cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::detail::radix::policy_hub<unsigned long long, SortPayload<(int)4>, unsigned int>::Policy1000, (bool)0, unsigned long long, SortPayload<(int)4>, unsigned int, int, int, cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,2541164,2538084,1,1,52870,52870.0,52870.0,52870,52870,0.0,eval_mujoco_coupling_effective_mass_block_kernel_463f086f_cuda_kernel_forward
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,2541164,2538084,1,4,51044,12761.0,12641.0,11969,13793,905.6,repeat_array_kernel_663a0482_cuda_kernel_forward
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,2541164,2538084,1,24,50919,2121.6,1825.0,1824,2848,379.3,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4, (int)4>>(T3)"
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,2541164,2538084,1,1,49830,49830.0,49830.0,49830,49830,0.0,update_dof_properties_kernel_c60786a2_cuda_kernel_forward
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,2541164,2538084,1,53,48291,911.2,896.0,896,960,18.4,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<char *, (unsigned long long)1>>(int, T2, T3)"
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,2541164,2538084,1,1,48101,48101.0,48101.0,48101,48101,0.0,update_jnt_properties_kernel_0897daf7_cuda_kernel_forward
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,2541164,2538084,1,4,47654,11913.5,11970.0,11681,12033,157.8,_subtree_com_init_002b02fd_cuda_kernel_forward
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,2541164,2538084,1,42,47522,1131.5,1120.0,1088,1216,30.6,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, bool, at::native::<unnamed>::CompareEqFunctor<float>>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,2541164,2538084,1,1,47046,47046.0,47046.0,47046,47046,0.0,update_joint_transforms_kernel_573b834d_cuda_kernel_forward
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,2541164,2538084,1,1,45093,45093.0,45093.0,45093,45093,0.0,compute_shape_local_bounds_5bec0069_cuda_kernel_forward
