Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,157839,48,3288.3,2721.0,2688,27971,3639.3,_gravity_force_7c63ac28_cuda_kernel_forward
0.0,156017,11,14183.4,14049.0,10817,15874,1340.6,_accumulate_subtreemass_a3369753_cuda_kernel_forward
0.0,154839,96,1612.9,1376.0,1312,13634,1645.8,_copy_mapped_spatial_vector_910e04e9_cuda_kernel_forward
0.0,148179,48,3087.1,2593.0,2465,25091,3244.6,_qderiv_actuator_passive_vel_cc1a6654_cuda_kernel_forward
0.0,146960,48,3061.7,2592.0,2401,25570,3319.2,apply_mjc_body_f_kernel_959969cf_cuda_kernel_forward
0.0,144566,102,1417.3,992.0,960,9537,1780.4,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long long)2>>(int, T2, T3)"
0.0,143154,7,20450.6,20707.0,18978,22210,1058.0,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, (int)4, (int)4>>(T3)"
0.0,141995,48,2958.2,2928.5,2688,3520,136.7,compute_shape_transforms_kernel_9f59b1a6_cuda_kernel_forward
0.0,141267,48,2943.1,2369.0,2336,27843,3671.3,_copy_mapped_particle_state_fc98a109_cuda_kernel_forward
0.0,139854,48,2913.6,2880.0,2784,3104,82.7,_scatter_particle_state_mapped_a50d8d96_cuda_kernel_forward
0.0,138671,3,46223.7,45797.0,45605,47269,910.4,"void at::native::bitonicSortKVInPlace<(int)2, (int)-1, (int)16, (int)16, float, long long, at::native::GTOp<float, (bool)1>, unsigned int>(at::cuda::detail::TensorInfo<T5, T8>, T8, T8, T8, at::cuda::detail::TensorInfo<T6, T8>, T8, T7)"
0.0,137262,48,2859.6,2208.0,2112,32547,4376.9,init_body_body_contact_materials_95ac6a13_cuda_kernel_forward
0.0,135117,14,9651.2,5200.5,5120,37732,11224.3,"void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatter_gather_internal_kernel<(bool)0, at::native::OpaqueType<(int)4>, long long>::operator ()<at::native::TensorAssign>(at::TensorIterator &, long long, long long, long long, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,134543,48,2803.0,2240.0,2176,27171,3595.9,apply_mjc_control_kernel_af10f051_cuda_kernel_forward
0.0,131732,48,2744.4,2272.5,2209,22307,2885.7,_spring_damper_dof_passive_7b46d40c_cuda_kernel_forward
0.0,130830,48,2725.6,2272.0,2240,22691,2943.9,_preprocess_tactile_contacts_0f2dba1d_cuda_kernel_forward
0.0,130794,67,1952.1,1088.0,992,8608,2403.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (unsigned long long)2>>(int, T2, T3)"
0.0,129100,10,12910.0,12321.0,11969,14785,1229.4,_scatter_reset_masks_from_ids_2405962b_cuda_kernel_forward
0.0,128047,12,10670.6,10913.0,9377,11490,751.0,repeat_array_kernel_a2286757_cuda_kernel_forward
0.0,125324,48,2610.9,2208.0,2176,20034,2569.1,_qderiv_tendon_damping_ec990995_cuda_kernel_forward
0.0,124272,48,2589.0,2080.0,2048,24995,3303.6,_qderiv_actuator_passive_actuation_sparse_9edf10e9_cuda_kernel_forward
0.0,124233,48,2588.2,2144.0,2112,22754,2973.3,_next_position_1c101e8d_cuda_kernel_forward
0.0,122509,4,30627.3,30211.0,30019,32068,970.4,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_put_kernel_impl<at::native::OpaqueType<(int)8>>(at::TensorIterator &, c10::ArrayRef<long long>, c10::ArrayRef<long long>)::[lambda(char *, const char *, long long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long long, T3)"
0.0,122253,48,2546.9,2497.0,2432,2784,90.6,_harvest_vbd_proxy_wrenches_kernel_59dd3421_cuda_kernel_forward
0.0,121773,4,30443.3,30419.0,30211,30724,241.8,_compute_meaninertia_af08211b_cuda_kernel_forward
0.0,120176,48,2503.7,2048.0,2016,22499,2948.2,_cacc_world_6ec26fdb_cuda_kernel_forward
0.0,119501,12,9958.4,9793.0,9793,10465,299.3,compute_mean_vec3f_over_vertices_a5cf60bc_cuda_kernel_forward
0.0,118320,48,2465.0,2048.0,1985,20675,2685.3,_cfrc_3922b605_cuda_kernel_forward
0.0,116401,48,2425.0,1984.0,1888,22338,2936.2,subtract_proxy_body_forces_kernel_f7cb7450_cuda_kernel_forward
0.0,114826,48,2392.2,2016.0,1952,18466,2370.8,_qfrc_actuator_gravcomp_limits_a91eb6a0_cuda_kernel_forward
0.0,114800,96,1195.8,1024.0,960,9121,1135.0,check_contact_overflow_f905198b_cuda_kernel_forward
0.0,114668,4,28667.0,18722.0,18658,58566,19932.7,_resolve_dampratio_9820ff1f_cuda_kernel_forward
